City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,rikaze,29.25,88.8833,47.86,9,37,1.39,CN,1738645124
315,sultanah,24.4926,39.5857,55.85,33,0,2.3,SA,1738645125
316,abadan,30.3392,48.3043,44.55,57,31,0.0,IR,1738645116
317,keelung,25.1283,121.7419,60.69,45,100,15.39,TW,1738645127
318,sinabang,2.4803,96.3801,86.63,64,34,5.1,ID,1738645128
319,belmonte,-15.8631,-38.8828,76.17,88,19,5.08,BR,1738645129
320,mishkino,55.3389,63.9175,13.87,94,100,6.24,RU,1738645131
321,kamaishi,39.2667,141.8833,34.7,54,9,18.63,JP,1738645132
322,santa ana,33.7456,-117.8678,58.84,85,40,1.99,US,1738644942
323,afaahiti,-17.75,-149.2833,79.56,74,18,9.62,PF,1738645134
324,boca do acre,-8.7522,-67.3978,71.87,99,71,2.42,BR,1738645135
325,igrim,63.1906,64.4162,-10.62,99,96,4.36,RU,1738645136
326,qamdo,31.1667,97.2333,47.7,12,0,1.03,CN,1738645137
327,puerto deseado,-47.7503,-65.8938,53.69,70,42,18.28,AR,1738645139
328,niquelandia,-14.4739,-48.4597,66.67,95,99,1.54,BR,1738645140
329,afif,23.9065,42.9172,54.23,29,34,8.57,SA,1738645141
330,jolo,6.05,121.0167,83.43,77,99,1.23,PH,1738645142
331,barhi,23.9,80.8,82.42,28,72,3.69,IN,1738644849
332,greenville,35.6127,-77.3663,53.15,90,0,6.91,US,1738644858
333,ukmerge,55.25,24.75,28.08,93,100,5.99,LT,1738645148
334,plettenberg bay,-34.0527,23.3716,68.56,68,0,3.56,ZA,1738645150
335,vilyuysk,63.7553,121.6247,-3.68,94,100,10.54,RU,1738645151
336,tabuk,17.4189,121.4443,67.3,94,100,9.86,PH,1738645152
337,bardai,11.65,7.2333,64.0,15,1,9.64,NG,1738645153
338,fale old settlement,-9.3852,-171.2468,83.62,67,52,13.51,TK,1738645155
339,al jahra',29.3375,47.6581,58.98,25,67,4.14,KW,1738645156
340,manturovo,58.3353,44.7619,18.41,99,100,2.84,RU,1738645157
341,north bend,43.4065,-124.2243,37.31,93,100,5.75,US,1738645158
342,goundam,16.4145,-3.6708,65.05,14,81,7.16,ML,1738645159
343,bonthe,7.5264,-12.505,74.57,88,83,5.01,SL,1738645160
344,mossel bay,-34.1831,22.146,69.44,73,0,0.69,ZA,1738645161
345,papao,-17.75,-149.55,83.88,69,12,8.46,PF,1738645162
346,wladyslawowo,54.7909,18.4009,34.93,83,98,7.99,PL,1738645052
347,bamboo flat,11.7,92.7167,86.09,58,40,4.61,IN,1738645166
348,riyadh,24.6877,46.7219,55.29,22,12,5.84,SA,1738645003
349,corner brook,48.9667,-57.9484,24.24,96,100,7.36,CA,1738645025
350,rehoboth,-23.3167,17.0833,75.04,56,94,4.18,NA,1738644919
351,turpan,42.9333,89.1667,36.52,31,0,2.1,CN,1738645170
352,namdrik,5.5994,168.1028,81.23,81,58,24.36,MH,1738645172
353,shakawe,-18.3667,21.85,69.98,86,27,3.65,BW,1738645173
354,gering,41.8258,-103.6605,12.33,73,100,10.36,US,1738645174
355,luwuk,-0.9516,122.7875,82.58,70,100,3.49,ID,1738645175
356,napier,-39.4833,176.9167,66.27,73,14,5.99,NZ,1738645176
357,kazlu ruda,54.7667,23.5,28.99,77,96,6.98,LT,1738645177
358,ribeira grande,38.5167,-28.7,57.78,71,100,11.99,PT,1738645178
359,sorsk,54.0033,90.2467,12.69,86,29,1.01,RU,1738644881
360,linxia chengguanzhen,35.6003,103.2064,17.15,75,28,3.4,CN,1738645181
361,karagandy,49.8019,73.1021,10.35,83,14,11.81,KZ,1738645182
362,vadso,70.0744,29.7487,10.56,79,40,11.5,NO,1738645183
